"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
"30/20/60","7490400","188","2.7800348490647","2.56603773584906","84.9216412418038","0","876000","3.53547427354042","2289.75892857143","1.53350497082716","0.296872441950122","328.4375","0.57421631839687","776576.862667","Inf","3.05512325449406","2.46993566647891","0.477404514338365","0.1179639154153","13858098","325","5.13641847045067","3.84113646336112","140.033976842613","0","1527000","6.31747412492127","4034.94037212787","3.1429314659668","0.641404912334455","377.683316683317","0.655029780407452","1377941.9135","Inf","5.50791378205203","4.44757551837335","0.704325321013429","0.121952497079047"
"35/20/60","7558476","85","2.53839285714286","0.72","89.7903703703704","0","366000","2.08674473176826","2415.66666666667","1.22450506608199","0.235320556177978","532.75","0.885157549977541","235259.188501","Inf","3.01813870315241","2.14284076579159","1.9172026366528","0.0913136470263557","11936660","161","4.88982734791844","10.3846153846154","134.299179388284","0","741000","4.34657444422541","3516.89123376623","2.41317868332537","0.418181719051636","668.181818181818","1.12783164196212","537004.600666","Inf","4.62112594877769","4.50514595885063","1.70967555577459","0.117534809973204"
"75/30/90/0","9439347","101","4.21661941646996","15.5794205794206","107.135864135864","0","651000","4.74849853362701","3041.4","2.35729053426735","0.526020002369087","116.4","0.190293993583146","619409","Inf","3.66098448322033","3.5240712141996","0.313937499444101","0.171850682799588","17806447","155","8.09451119056382","27.6649604013566","221.015819834919","0","1123500","8.56031489099385","5504.75","4.4321879495842","0.824611944387878","239.75","0.390094040371024","1069337.2585","Inf","6.23887144409085","7.33347286778333","0.531672901549909","0.216676506653345"
"ID-2 120/40/120/7","24594115","877","12.2058595455649","60.684816244547","461.584090673824","0","8803500","12.1402248328795","8727.29897342995","7.63656367966728","1.03456831946427","1253.24945652174","1.82806670627862","8274600.454001","Inf","8.50411714220193","12.40898403622","0.943532252028645","0.308150204265973","31264381","1241","15.1827245724402","67.504653940166","535.765650539911","0","12121500","14.9751083447287","10795.7746020674","9.32369816620408","1.26478054462708","1539.0460745563","2.24254418534146","11379659.945333","Inf","10.6077605627337","15.4015115678532","1.12468361729378","0.294621968468218"
"75/20/120 RUN THIRD","15039177","115","7.06221988795518","0.713286713286713","236.4287995338","0","942000","7.46013566143246","4779.8","4.14724382129593","0.572497501966089","1022.5","1.744385291605","881149.802667","Inf","5.45941099638676","6.33856520312444","0.543274650060558","0.24117466560665","13827144","96","6.41304112554113","13.9043062200957","190.06367572486","0","630000","6.42284418036957","3828.83333333333","3.26814869852676","0.491556383336633","898.75","1.64986034498194","584873.306499","Inf","4.69161707484094","4.93018561094179","0.622663570342232","0.223479737082662"
"40/10/120/20 RUN FIRST","7527012","227","3.40588383838384","0.960104302477184","78.6937714827545","0","907500","3.51535550037722","2488.00699300699","2.05015962595186","0.450345098889274","329.045687645688","0.531286965048431","798885.136667","Inf","3.15286065646876","3.17080186700231","0.490854863704746","0.137902759625429","2006566","63","0.84","0","21.8571428571429","0","247500","0.893858329967677","618.642857142857","0.515875764923219","0.120426051505782","27.6428571428571","0.0446830620020783","221229.936667","Inf","0.764414029084688","0.774647887323944","0.106141670032323","0.158988569449255"
"30/10/40","11339904","154","3.54985271591846","0","120.596395888594","741.28125","1092000","5.03477109080962","3547.90303030303","1.75189341455424","0.497411202688577","331.036363636364","0.559560567226681","960490.461333","Inf","4.62754179372861","3.16714636370499","1.57942644005457","0.0853923102677809","11830308","171","3.5364155558633","13.7666666666667","132.109056956116","818.916666666667","1216500","4.85848119771616","3466.05808080808","1.76462210093331","0.452398110889093","313.191558441558","0.538595169042882","1067644.420667","Inf","4.43610948236959","3.13556810393541","1.87190443655571","0.100914007027333"
"75/20/90","11339962","240","5.58010854836809","0","181.376219706234","551.651162790698","1626000","5.02672523188762","3549.03636363636","3.13857615233258","0.571871605590336","332.169696969697","0.561318619793187","1395162.817666","Inf","4.33940255544984","5.5603361611073","1.52299852501845","0.199905949715757","13860108","277","6.19994243419555","10.1296296296296","220.619352740283","566.942307692308","1812000","5.67376091916569","4034.65115440115","3.52067028526664","0.581410112513502","386.70670995671","0.669848248952551","1523972.913167","Inf","4.91290675679364","5.96735116299492","1.94012262080481","0.213070699861669"
"60/20/90/0x","11281158","315","5.94403215831787","19.0834703131324","107.105007586422","0","2416500","5.80036652383398","3611.46767676768","3.6864721181769","0.861433705883579","121.922222222222","0.202575398091825","2336462.452667","Inf","4.73020941069637","5.88926643531907","0.261546843995768","0.165814536354872","15819132","398","7.85600780432357","38.8975212356754","138.979254944848","0","3054000","7.72748599573284","4751.98373015873","4.9944967535472","1.12956036874254","255.876587301587","0.430536219126799","2950737.362667","Inf","6.31215922440759","7.72720552516117","0.40071157105213","0.165705316551592"
"200/unl/150/ 7","11291978","211","5.96428571428571","77.0188865884518","166.861720726938","0","784500","5.38143128165231","3637.80952380952","3.70066418835017","0.584706773966909","506.661904761905","0.839505949245848","706599.062667","Inf","4.17228441489783","5.94029850746269","1.06928377208091","0.272763567819462","11849767","213","5.95194508009153","57.6597511240368","189.93958824316","0","756000","5.23870449047472","3710.36666666667","3.51921695685499","0.509765679084105","442.841666666667","0.71659052739101","662083.632","Inf","4.05550857241028","5.92248642576297","1.09827156957217","0.280354142896928"
