"Routing_plan","FN","FRRR","SRRR","SN"
"Min/30/60/1-2/10","5","0.7133","0.6827","9"
"DishNET 75/ 20/ 90/0","4","0.6852","0.7304","5"
"FSSwk2/wk4/45/10/60/50","21","0.3744","0.2676","33"
"FSSwk2/wk4/60/10/60/50","5","0.2244","0.221","7"
"FSSwk2/wk4/75/10/120/50","4","0.5113","0.5101","7"
"75/0/60/1-4/10","11","0.4042","0.4555","16"
"Min/UNL/200/1-3/15","4","0.4525","0.3853","4"
"50/0/120/1-1/10 IntraDay()","44","0.4861","0.4141","45"
"70/15/140/1-5/0","5","0.4048","0.4117","8"
"150/30/180/1-4/5","6","0.7272","0.5807","7"
"120/30/60/1-1/0","5","0.5308","0.5058","6"
"75/10/60/1-4/10","6","0.5033","0.5312","8"
"50/10/30/1-5/15","6","0.6739","0.6601","7"
"75/25/100/1-1/10Z","6","0.7999","0.7987","8"
"120/10/60/1-5/10","7","0.4429","0.5296","7"
"120/30/60/1-4/0","6","0.3905","0.3583","3"
"75/0/60/1-3/0","5","0.1486","0.0348","3"
"120/20/120 - RUN THIRD","4","0.3868","0.623","5"
"IntraDay 45/0/90/1-1/15$","42","0.9151","0.9104","55"
"Min/unl/ 250/7","7","0.5129","0.5783","6"
"ID-1 75/20/90/7","7","0.6268","0.5445","18"
"FSSwk2/wk4/45/0/60/50","16","0.1683","0.1585","19"
"80/10/0/Specialty/7","6","0.6511","0.625","7"
"FSSwk2/wk4/45/UNL/0/50","20","0.473","0.4479","40"
"90/15/120/5-1/0","2","0.7172","0.8896","2"
"120/0/30/1-5/0","2","0.3358","0.4699","7"
"90/20/140/1-2/20","6","0.5829","0.6373","6"
"75/30/120/1-1/10","1","0.811","0.7336","7"
"100/10/120/1-1/0","3","0.824","0.8243","6"
"FSSwk2/wk4/85/UNL/0/50","5","0.4537","0.5578","9"
"FSSwk2/wk4/60/UNL/60/20","12","0.3411","0.4647","14"
"Min/-10/120/1-4/10","6","0.7999","0.5479","5"
"FSSwk2/wk4/45/60/50","4","0.4887","0.4701","8"
"FSSwk2/wk4/45/10/90/50","11","0.4517","0.4101","15"
"60/10/120/Specialty/20","8","0.4972","0.4757","11"
"60/10/90/1-5/50","6","0.6752","0.6831","7"
"Min/10/180/Specialty/10a","2","0.5375","0.4953","6"
"90/0/120/1-4/50","4","0.7619","0.8305","6"
"60/10/90/1-5/20","3","0.6633","0.6282","7"
"100/20/200/1-1/0","10","0.7756","0.8069","12"
"120/60/150/1-1/8","5","0.7288","0.7469","4"
"90/10/150/1-1/50","7","0.8157","0.8023","6"
"FSSwk2/wk4/45/0/30/50","6","0.3253","0.5611","4"
"FSSwk2/wk4/45/UNL/60/50","6","0.4341","0.5025","7"
"60/0/30/1-5/50","4","0.6741","0.6339","7"
"45/10/120/1-3/15","11","0.6351","0.6663","13"
"Min/10/30/1-4/0","4","0.7439","0.7108","9"
"30/10/120/1-5/50","5","0.2798","0.3826","7"
"75/10/120/1-3/10","14","0.6694","0.612","13"
"85/0/60/1-4/15","6","0.6276","0.7969","3"
"45/10/90/1-5/15","4","0.625","0.6537","5"
"70/0/120/1-4/7","3","0.8004","0.7209","9"
"90/0/170/1-1/5","6","0.8125","0.8773","7"
